channel_name,Channel Link,channel_id,Subscribers,Average Daily Views
한국문화예술교육진흥원,https://vling.net/channel/UC5Ecd7719wyFQMiopTToWIw,UC5Ecd7719wyFQMiopTToWIw,20600,880
도공스님의 목탁소리,https://vling.net/channel/UCATRd_fhlgYRFHJtzba5DHg,UCATRd_fhlgYRFHJtzba5DHg,10100,805
TV벽운사 (벽운사 지산스님),https://vling.net/channel/UCfunI3GFjqOdfduT8xWEbOw,UCfunI3GFjqOdfduT8xWEbOw,87000,1028
슈Tube,https://vling.net/channel/UCUg58oE6uAvegvfKtzD6AJw,UCUg58oE6uAvegvfKtzD6AJw,26700,3249
KAHEVA Universe,https://vling.net/channel/UC9VKvuGihgywp6eCRDo7dIA,UC9VKvuGihgywp6eCRDo7dIA,352000,7524
여의덕,https://vling.net/channel/UCw1MmZNOe3GQXr3yMaEANxA,UCw1MmZNOe3GQXr3yMaEANxA,76800,9856
TV하늘문,https://vling.net/channel/UCBudsXahvCbbGNOQ6JZ-dDA,UCBudsXahvCbbGNOQ6JZ-dDA,48800,52
815광복TV 2채널[청교도 복음채널],https://vling.net/channel/UCL4A30ACm6PNnTPsdBoQG0w,UCL4A30ACm6PNnTPsdBoQG0w,54400,1972
이정훈교수,https://vling.net/channel/UCX66fk-SAhnj0M8UAj7e6jw,UCX66fk-SAhnj0M8UAj7e6jw,157000,6177
민주진보티비,https://vling.net/channel/UCNQiHvGuXzjSzLI_Tk9ZI_Q,UCNQiHvGuXzjSzLI_Tk9ZI_Q,43100,5732
Fat Little Asian Man,https://vling.net/channel/UC7hVEBYDz2bn54TyjKv7aSw,UC7hVEBYDz2bn54TyjKv7aSw,64200,11090
Damascus TV,https://vling.net/channel/UCFedtwqkwPCAI5oh1XO2NHA,UCFedtwqkwPCAI5oh1XO2NHA,56800,2808
가을인생,https://vling.net/channel/UC6SZ7KSlPrecXoEPflZGEnA,UC6SZ7KSlPrecXoEPflZGEnA,55100,665
이스라엘TV정실,https://vling.net/channel/UCfFioh-xDBkzfyFd0F1UR4g,UCfFioh-xDBkzfyFd0F1UR4g,28300,204
다이치 사장 ダイチ社長,https://vling.net/channel/UC0XMOPdhoMnb7ZwC7E2Kd3g,UC0XMOPdhoMnb7ZwC7E2Kd3g,12300,3682
임사체험간증메시지,https://vling.net/channel/UCP3D5O3VgtDVeiymBtfUD8w,UCP3D5O3VgtDVeiymBtfUD8w,42300,3754
정유나TV,https://vling.net/channel/UCoZV4nxgJnn-6w9dZMvDDgQ,UCoZV4nxgJnn-6w9dZMvDDgQ,255000,11339
참종불교tv,https://vling.net/channel/UCgqT7rKdtfiQ0RvWdCdQhMw,UCgqT7rKdtfiQ0RvWdCdQhMw,44800,1014
옛이모 / 옛날 이야기 모음집,https://vling.net/channel/UCXteplAfqvJYf4TXabq3GxA,UCXteplAfqvJYf4TXabq3GxA,41300,10169
도연사010-2968-1525,https://vling.net/channel/UCPLAYUfWygga0AxYU656Glg,UCPLAYUfWygga0AxYU656Glg,17900,3143
NCMN 공식 유튜브,https://vling.net/channel/UCfz3xkNWe_9KlL9sLDUfPeA,UCfz3xkNWe_9KlL9sLDUfPeA,18200,592
지혜의 길,https://vling.net/channel/UCnh_iyPrmoucwK4BjYDm0NQ,UCnh_iyPrmoucwK4BjYDm0NQ,16300,34915
건국TV,https://vling.net/channel/UCSNQKJE-xZSeR70tcMuUzzQ,UCSNQKJE-xZSeR70tcMuUzzQ,77000,742
전쟁기념사업회,https://vling.net/channel/UClEbJ_3EMk26pJ3Qun7QRMw,UClEbJ_3EMk26pJ3Qun7QRMw,14100,1740
심리 톡톡,https://vling.net/channel/UCUEyV9wWFVYjPJRJM8oOQjw,UCUEyV9wWFVYjPJRJM8oOQjw,22800,20568
피보다진한이야기,https://vling.net/channel/UCKPD484IYN8FiUMiYTkpBlg,UCKPD484IYN8FiUMiYTkpBlg,10400,17835
온누리교회 월요치유집회,https://vling.net/channel/UCHbhx9ufu26GvfSxnKKvIrA,UCHbhx9ufu26GvfSxnKKvIrA,13200,775
조제돌,https://vling.net/channel/UCtkcLbPdsMg018xOAU7kGdA,UCtkcLbPdsMg018xOAU7kGdA,11200,7005
Church of God Media,https://vling.net/channel/UCYJ3ZTBXsk1XIfjACZRE4yg,UCYJ3ZTBXsk1XIfjACZRE4yg,120000,6836
가정선교회The Holy Family Mission,https://vling.net/channel/UCOiHmVE20PgyVoPjpRhjVmA,UCOiHmVE20PgyVoPjpRhjVmA,44700,326
하나만TV-하나님나라 만들기,https://vling.net/channel/UCRMLi3Myh-hRMwF_t76rlIw,UCRMLi3Myh-hRMwF_t76rlIw,16300,23
안디옥교회 Antioch Church,https://vling.net/channel/UCleQoiUFmXaqlPu_GSzRNww,UCleQoiUFmXaqlPu_GSzRNww,15100,814
WTC행복한 국제결혼,https://vling.net/channel/UCbYYDTY20wY0BcXc4re3Xag,UCbYYDTY20wY0BcXc4re3Xag,54000,60362
Choi Esther,https://vling.net/channel/UCGKLqlrr4fIEinpedne_KxQ,UCGKLqlrr4fIEinpedne_KxQ,25100,215
진선미TV,https://vling.net/channel/UCJjg88xb_nV020aichTln3A,UCJjg88xb_nV020aichTln3A,19700,89
동명암 별상장군 태산,https://vling.net/channel/UC6429ygpCvxyXVN_EEiRh-g,UC6429ygpCvxyXVN_EEiRh-g,13800,418
정치숏컷,https://vling.net/channel/UCl6s8dwzB15Y_1Px2fQ4DyQ,UCl6s8dwzB15Y_1Px2fQ4DyQ,60900,858
sjctv,https://vling.net/channel/UC_0a9Q_SLJfY1V2KJg0Mbvg,UC_0a9Q_SLJfY1V2KJg0Mbvg,11300,175
리움미술관,https://vling.net/channel/UCyXVnJijxHsBrzN9AAZ-Yxw,UCyXVnJijxHsBrzN9AAZ-Yxw,14400,413
To. Ministry 투 미니스트리,https://vling.net/channel/UCIBeXIOOmHrXJ90yjQVgANg,UCIBeXIOOmHrXJ90yjQVgANg,42800,17869
성서나라tv,https://vling.net/channel/UCIk_6_-gigkPhRolVeREsSg,UCIk_6_-gigkPhRolVeREsSg,156000,29470
AmazingGrace큰은혜교회,https://vling.net/channel/UC9An5mbRfyPep6LRKKvK-bA,UC9An5mbRfyPep6LRKKvK-bA,10000,1278
Inner Kosmos ,https://vling.net/channel/UCXiAIswmvBAbuivXl1w3T9A,UCXiAIswmvBAbuivXl1w3T9A,23100,521
고수의 생각,https://vling.net/channel/UCia6ZMGmi67OTVcl5-hlvaw,UCia6ZMGmi67OTVcl5-hlvaw,10700,8
박보명의임재TV,https://vling.net/channel/UC9NJrDozNXmMOkCDu8gopCQ,UC9NJrDozNXmMOkCDu8gopCQ,17800,6382
열린교회,https://vling.net/channel/UCpjCseYRqBXGLdOXWw8K1pg,UCpjCseYRqBXGLdOXWw8K1pg,19800,821
오래된정원TV,https://vling.net/channel/UCPJxK9zjrJFdvkuiP32cwuA,UCPJxK9zjrJFdvkuiP32cwuA,84500,38395
문희정의 국제정치,https://vling.net/channel/UCq_sQk_0Tf5VwxPuptKInXQ,UCq_sQk_0Tf5VwxPuptKInXQ,17300,1149
민주특검단,https://vling.net/channel/UCHjpKwGh7BEB72oTK4qqKhw,UCHjpKwGh7BEB72oTK4qqKhw,16200,62555
노회찬재단,https://vling.net/channel/UCGFpyYudIbPlQwABGJXtUQQ,UCGFpyYudIbPlQwABGJXtUQQ,19300,184
진제사 진제스님,https://vling.net/channel/UCi40bauGJYSzn9XLoTsWY0w,UCi40bauGJYSzn9XLoTsWY0w,28100,1172
인생드라마,https://vling.net/channel/UCNYCzjT3jcTB0JaKoXgCCtw,UCNYCzjT3jcTB0JaKoXgCCtw,55300,161285
노태정,https://vling.net/channel/UCp-qEsEB9INBU8pHykJSNuQ,UCp-qEsEB9INBU8pHykJSNuQ,50400,7360
테네트,https://vling.net/channel/UCBqqROw4mQiNkYsGfVm0Vjw,UCBqqROw4mQiNkYsGfVm0Vjw,22100,24027
부자로살기,https://vling.net/channel/UCIWeUjJMnPxhfX1NH7DqOeg,UCIWeUjJMnPxhfX1NH7DqOeg,15100,1385
황경구 시사파이터,https://vling.net/channel/UCR-RJLCiS2SpX6s8hsFPYrQ,UCR-RJLCiS2SpX6s8hsFPYrQ,108000,7374
옆집딸래미,https://vling.net/channel/UCE4Ppyrl9aZeWVkDs_Wo_8A,UCE4Ppyrl9aZeWVkDs_Wo_8A,16800,41
한소망 류영모목사 유빛,https://vling.net/channel/UCAF67mzMqpKdnbtzCCY4cag,UCAF67mzMqpKdnbtzCCY4cag,150000,3912
